request_id,title,search_keyword,target_sites,ebay_price_jpy,ebay_url
001,KTM Racing (Embroidered Iron on patch) Motorcycle / Dirt Bike,KTM Racing (Embroidered Iron on patch) Motorcycle / Dirt Bike,mercari;yahoo,618,https://www.ebay.com/itm/168424788691?_skw=KTM&hash=item2736e652d3:g:2LEAAOSwLdZnR9oM
002,"OBD2 Adapter Fit for KTM 6 Pin to 16Pin Motorcycle Diagnostic Cable,Fit for KTM","OBD2 Adapter Fit for KTM 6 Pin to 16Pin Motorcycle Diagnostic Cable,Fit for KTM",mercari;yahoo,2168,https://www.ebay.com/itm/137150796412?_skw=KTM&hash=item1feed3127c:g:wQIAAeSwbKlpvTuV&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGYhjF3dIpMOeeu7wsXuonRlwXI01Z9SePa68wcpgOmj8F58bnts6XHd5JGUJ%2B880wazU78yEOgwubjempnaep0%2FAs5mtXB%2Bd3WzFQ9P8KzrNuBrjlbWXgzZON2wgOFHBDWi13X6IBus%2FNPDWxeGs5%2BaFR1nL0%2BbPH%2BPeXyXm6mgNZpX%2BO4pzNuWPRQsz8WCak1qsxx4SosWgFYquyecwIJCwlrCoyDGep3EGskdrLvOK9D%2F1P0ipbw833d2YsiKfuvy%2BCCaJs%2B6cw10AG4fFCZj
003,Kick starter Start Lever For KTM EXC125 EXC200 SX 125 144 150 200 XC150 XCW200,Kick starter Start Lever For KTM EXC125 EXC200 SX 125 144 150 200 XC150 XCW200,mercari;yahoo,5427,https://www.ebay.com/itm/397849391420?_skw=KTM&hash=item5ca1abf13c:g:iYYAAeSw3y9p4eWG&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGa76T6v%2FIEydTpnuiLWaA047NRGgzo4nZxepMp7AfHLTCmW%2FQ2Ckb0nmij6GCynkggNLpyrp1EA2dhN2WqxWvsHaA0TZCNjwk%2FqIthf8k2apYlrJJmkja1d56AUui%2Btzvq6zsKzqbagyjpdilvhJaPGapE61gV98Z8mYdtsrkvliDAQneaE2wtxBAB8RNgVDeFV5n5h86Ot9u%2Fy4sKD1ZNj66UmFCKD0yCLysBLTSMaFBreLeJpYZVlCfSzczw5KnTnpQlYUbUyYvm--yUm8s0Y
004,"Engine Gasket Seal Kit Compatible with KTM Duke 390 RC 390 Dominar 400, Clutch C","Engine Gasket Seal Kit Compatible with KTM Duke 390 RC 390 Dominar 400, Clutch C",mercari;yahoo,9297,https://www.ebay.com/itm/397892792668?_skw=KTM&hash=item5ca442315c:g:G0oAAeSw~9Bp8YO3&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGZkTeckXDqNWNMcOkpaM%2FaKrjo8BefV57AeSb7IvRkM98R6cD2T47jSkwdtyiuctfAjMrMdNtFWO4IjlvguMzSJFbEzhXyu7JtjczxOfrUwqp%2FDdeptdXcQ5UMJVOqlYzM4Cye8UsSFfAeXAOb%2B2ZcDDIK4Z1R4Mf3qmLXeam5QsANHuby85odIcj5kABZIz7%2FUErEwbP%2FZ571JlucmKd7FHEUUW6ErgK2mritWJ93K8rjEWlmsmSQuT%2FA6QR5QoJf1q6Aj9VZ6FptHqEER7aFQ
005,"RedBull KTM Grid Ceramic Mug, Navy, 3RB250042100","RedBull KTM Grid Ceramic Mug, Navy, 3RB250042100",mercari;yahoo,2323,https://www.ebay.com/itm/306978952175?_skw=KTM&hash=item47795f13ef:g:DJ8AAeSwhe1qHzh9
006,‘11-‘25 KTM 350 SX-F ProX Piston Kit Size B 87.97mm Piston Comp 13.5:1 01.6353.B,‘11-‘25 KTM 350 SX-F ProX Piston Kit Size B 87.97mm Piston Comp 13.5:1 01.6353.B,mercari;yahoo,29448,https://www.ebay.com/itm/187468013401?_skw=KTM&hash=item2ba5f6df59:g:GbUAAeSwHIBok2xt
007,"KTM Team Tee Men's T-Shirt, Orange/Black Casual Racing Fan Wear Size: S-3X","KTM Team Tee Men's T-Shirt, Orange/Black Casual Racing Fan Wear Size: S-3X",mercari;yahoo,5423,https://www.ebay.com/itm/178019623440?_skw=KTM&hash=item2972cbe210:g:msYAAeSwlBhp0CDb
008,KTM TEAM CIRCUIT BACKPACK 3PW240001300 NEW SHIPS FAST,KTM TEAM CIRCUIT BACKPACK 3PW240001300 NEW SHIPS FAST,mercari;yahoo,17048,https://www.ebay.com/itm/326997564926?_skw=KTM&hash=item4c2292ddfe:g:SgwAAeSwxvxpjO~h
009,"KTM embroidered  key chain, for motorcycles, dirt bikes, Orange, Black, Silver","KTM embroidered key chain, for motorcycles, dirt bikes, Orange, Black, Silver",mercari;yahoo,767,https://www.ebay.com/itm/202466251597?_skw=KTM&hash=item2f23edd34d:g:5lAAAOSwa6JbvsOr
010,"KTM RC16 #33 BINDER MOTOGP ""RED BULL RACING"" 1/18 MOTORCYCLE BY MAISTO 34393","KTM RC16 #33 BINDER MOTOGP ""RED BULL RACING"" 1/18 MOTORCYCLE BY MAISTO 34393",mercari;yahoo,2134,https://www.ebay.com/itm/136836685907?_skw=KTM&hash=item1fdc1a2053:g:IEQAAeSwaXJpOv~Z
