request_id,title,search_keyword,target_sites,ebay_price_jpy,ebay_url
101,KTM GPS BRACKET - A61012992044,KTM GPS BRACKET - A61012992044,mercari;yahoo,10693,https://www.ebay.com/itm/326292275715?_skw=KTM&hash=item4bf8890203:g:V7oAAOSwRthm~tbM
102,"STX4L-BS Battery Replacement for KTM E/XC, M/XC Racing 4-Stroke 520CC 2000-2002","STX4L-BS Battery Replacement for KTM E/XC, M/XC Racing 4-Stroke 520CC 2000-2002",mercari;yahoo,2943,https://www.ebay.com/itm/325954793891?_skw=KTM&hash=item4be46b71a3:g:L6MAAOSw32lYpcBx
103,Motorcycle Cam Chain Tensioner for KTM250 350 For EXC XCF with Anodized Finish,Motorcycle Cam Chain Tensioner for KTM250 350 For EXC XCF with Anodized Finish,mercari;yahoo,3968,https://www.ebay.com/itm/227337193666?_skw=KTM&hash=item34ee5a48c2:g:u0AAAeSwn8tp~5Zm
104,RENTHAL Ultralight Rear Sprocket - 50 Tooth - Blue - Gas Gas/Husqvarna/KTM,RENTHAL Ultralight Rear Sprocket - 50 Tooth - Blue - Gas Gas/Husqvarna/KTM,mercari;yahoo,16215,https://www.ebay.com/itm/358549988149?_skw=KTM&hash=item537b3ea335:g:CWAAAeSw9fpqA97x
105,"Handlebar Guards Handguard Motorcycle, Molded Plastic Compatible with KTM Blue","Handlebar Guards Handguard Motorcycle, Molded Plastic Compatible with KTM Blue",mercari;yahoo,5856,https://www.ebay.com/itm/236836209893?_skw=KTM&hash=item372489c4e5:g:Rv8AAeSw-7pqFBb~
106,KTM Red Bull Umbrella Factory Race Team Edition 3RB240002400 Spring Release New,KTM Red Bull Umbrella Factory Race Team Edition 3RB240002400 Spring Release New,mercari;yahoo,5423,https://www.ebay.com/itm/187671736867?_skw=KTM&hash=item2bb21b7223:g:rbUAAOSwyRRn9CPv
107,Hot Cams 8.90mm Complete Shim Kit HCSHIM00 for Various KTM Dirt Bikes 2005-2017 ,Hot Cams 8.90mm Complete Shim Kit HCSHIM00 for Various KTM Dirt Bikes 2005-2017,mercari;yahoo,13876,https://www.ebay.com/itm/287047141097?_skw=KTM&hash=item42d557c6e9:g:mlwAAeSwVCtpVu5F
108,"USA Made, Two Composite Valve Cover Gaskets Fits KTM  58036053000 Ships Free!","USA Made, Two Composite Valve Cover Gaskets Fits KTM 58036053000 Ships Free!",mercari;yahoo,773,https://www.ebay.com/itm/298005172017?_skw=KTM&hash=item45627e0f31:g:8wsAAeSwMEJphYJM
109,Rainbow Titanium Clutch Slave Cylinder Banjo Bolt with Bleeder Valve Ducati KTM,Rainbow Titanium Clutch Slave Cylinder Banjo Bolt with Bleeder Valve Ducati KTM,mercari;yahoo,1550,https://www.ebay.com/itm/305435653623?_skw=KTM&hash=item471d6235f7:g:T-8AAOSwgZBm1n9-
110,M5x12mm Titanium Allen Socket Head Flange Bolt Fairing Screw for KTM Motorcycle,M5x12mm Titanium Allen Socket Head Flange Bolt Fairing Screw for KTM Motorcycle,mercari;yahoo,3280,https://www.ebay.com/itm/305769554112?_skw=KTM&hash=item47314920c0:g:myMAAOSwI-Jm28Vc
111,Mighty Max YTX9-BS GEL Replacement Battery compatible with KTM RC 390 2018,Mighty Max YTX9-BS GEL Replacement Battery compatible with KTM RC 390 2018,mercari;yahoo,5423,https://www.ebay.com/itm/384205379673?_skw=KTM&hash=item59746cd859:g:gzoAAeSwXBNp-Lot
112,KTM 990 T-SHIRT - WHITE - SIZE LARGE - 3PW250016804,KTM 990 Tシャツ - WHITE - SIZE LARGE - 3PW250016804,mercari;yahoo,5423,https://www.ebay.com/itm/327171124538?_skw=KTM&hash=item4c2ceb2d3a:g:wuAAAOSwh65oFT0Y
113,Motorcycle New 2023 Swingarm Swing Arm Protector For KTM XCW XCFW EXC EXCF TPI S,Motorcycle New 2023 Swingarm Swing Arm Protector For KTM XCW XCFW EXC EXCF TPI S,mercari;yahoo,4831,https://www.ebay.com/itm/388393635318?_skw=KTM&hash=item5a6e108df6:g:HVIAAOSw-8lnCDA4
114,Custom Name Men's RedBulll KTM Racing Motocross 3D Long Sleeve Shirt S-5XL,Custom Name Men's RedBulll KTM Racing Motocross 3D Long Sleeve シャツ S-5XL,mercari;yahoo,4648,https://www.ebay.com/itm/336578529567?_skw=KTM&hash=item4e5da4c91f:g:~BoAAeSwJ6NqH5hd
