rank,title,ebay_price_jpy,ebay_url
1,Dainese Misano 3 Perforated D-Air 1-Piece Leather Suits,325345,https://www.ebay.com/itm/116923241774?_skw=Dainese&hash=item1b392b152e:g:1awAAeSwac5pOd1t
2,KTM PowerWear Replica STACYC 20eDrive Stability Cycle UPW220074900,232345,https://www.ebay.com/itm/306875362363?_skw=KTM+PowerWear&hash=item4773326c3b:g:AjkAAeSwzp1p2sTN
3,Dainese Laguna Seca 5 Perforated Race Suit + Alpinestars Supertech R Boots,139500,https://www.ebay.com/itm/206301412456?_skw=Dainese&hash=item300885bc68:g:zDQAAeSwaLBqFi1w
4,DAINESE MISANO (size 60) 2 D-AIR PERF. 1PC SUIT | BLACK/WHITE/FLUO-RED | SIZE 60,139500,https://www.ebay.com/itm/117139420976?_skw=Dainese&hash=item1b460db730:g:kowAAeSwE2Bpvr3J
5,KTM PowerWear GIMOTO Rapid 1-Piece Racing Suit,139345,https://www.ebay.com/itm/405365012302?_skw=KTM+PowerWear&hash=item5e61a3374e:g:OEkAAOSwWttnO3aF&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGYyXoM9GWfg2z%2B1%2FwMUDWqVUS6qWWCVEtbLRu5w2q8rg5iJC7A7n3M6sEBv8pM3V6v19PJIMrlDY0%2BfGXz95Y4PKmeHNuFM9JJeckB6x3LakZ5RlvokSHAh6hBiRewIRCHfGirbCwd5q09bnLEhRtpdi%2BtC%2B1MrWIMi1c1r9%2BE188NxmL7w%2Fvw2tZIF5HvqhIYjahblznbjhfSnoInYtcshRMvkiEo73tDoKeJiqokssqy3FzLyKSG1%2B4nfB3tTqiwrqQ13YNW9wNC6W3Akgx9zvQBksu4nT0iC76CSMQxoKA%3D%3D
6,Dainese Laguna Seca 5  Race Suit Black/White Size 50 - Free Shipping!,123998,https://www.ebay.com/itm/206331904159?_skw=Dainese&hash=item300a57009f:g:jUoAAeSw-JNqJvti
7,DAINESE TORQUE 4  MEN RACING & ROAD BOOTS EU 44 US 11 - WHITE/BLACK - NEW IN BOX,116250,https://www.ebay.com/itm/188485055240?_skw=Dainese&hash=item2be295b308:g:14oAAeSwAxBp34G6
8,Dainese Torque 3 Out Boots White | Size 10 | Brand New,116248,https://www.ebay.com/itm/198388649940?_skw=Dainese&hash=item2e30e28fd4:g:DTUAAeSw7jVqGd7k
9,ALPINESTARS Tech 10 Supervented Boots Blue Black White 2010520-1792-9 US 9,116242,https://www.ebay.com/itm/257457481958?_skw=Alpinestars&hash=item3bf1a968e6:g:XxAAAeSwKuRp3p5l
10,Alpinestars Tech 10 DHCP Supervented Boots | Orange/Black/White,116242,https://www.ebay.com/itm/377245619035?_skw=Alpinestars&hash=item57d597535b:g:oRAAAeSw4r9qJz0z
11,Alpinestars Tech 10 DHCP Supervented Boots | Purple/Flo Yellow/Pink,116242,https://www.ebay.com/itm/327203259096?_skw=Alpinestars&hash=item4c2ed582d8:g:olIAAeSwMgVqJzyB
12,Alpinestars 2010020-394-12 Tech 10 Boots Ultraviolet Black Size 12,109221,https://www.ebay.com/itm/318428509805?_skw=Alpinestars&hash=item4a23d1766d:g:V-sAAeSw9Z5qJ0KA
13,Alpinestars Tech 10 Boots | Black/Red,108492,https://www.ebay.com/itm/377245620396?_skw=Alpinestars&hash=item57d59758ac:g:1fgAAeSwePZqJz0V
14,Alpinestars Tech 10 Supervented Boots White/Bright Red Size 14,108492,https://www.ebay.com/itm/116534145015?_skw=Alpinestars&hash=item1b21f9eff7:g:aDMAAOSwFFxn4pMW
15,ALPINESTARS Tech 10 Boots Red Size 12 - Performance & Protection,108492,https://www.ebay.com/itm/156896205212?_skw=Alpinestars&hash=item2487be199c:g:VQEAAeSw5pRn~vlk
16,Alpinestars Tech 10 Boots Ultraviolet Black Size 10,108492,https://www.ebay.com/itm/146445756853?_skw=Alpinestars&hash=item2218d8e9b5:g:d90AAOSw3r1n0gzu
17,Alpinestars Tech 10 Daytona Coast LE MX Offroad Boots White/Blue/Pink 14 USA,108492,https://www.ebay.com/itm/136639798178?_skw=Alpinestars&hash=item1fd05ddba2:g:1W0AAeSwt0Bo-QBg
18,Alpinestars Supertech R Vented BLACK WHITE RED FLUO (124) Size - 46,103383,https://www.ebay.com/itm/366457073074?_skw=Alpinestars&hash=item55528b2db2:g:3lQAAOSws4Rh3xKy
19,Alpinestars Supertech R Vented Boots | Flo Yellow/Black | Sz 6,100742,https://www.ebay.com/itm/377245619051?_skw=Alpinestars&hash=item57d597536b:g:vKsAAeSwLG9qJzz5
20,KTM PowerWear Tension V2 Leather Jacket,100283,https://www.ebay.com/itm/298347068993?_skw=KTM+PowerWear&hash=item4576defe41:g:GlEAAeSwPY9qEiaW
