rank,title,ebay_price_jpy,ebay_url
1,Dainese Men's Vintage 1-Piece Motorcycle Leather Racing Suit Red Black Stars 48,35648,https://www.ebay.com/itm/287345142373?_skw=Dainese&hash=item42e71aea65:g:lAMAAeSw8fBqD2aC
2,DDP Vintage 1997 Dainese Moto Leather Jacket Racing Mens size 56,34100,https://www.ebay.com/itm/127909015169?_skw=Dainese&hash=item1dc7f8ae81:g:yUsAAeSwmcNqJWo7
3,Vintage Dainese x Aero Leather Motorcycle Racing Suit 2 Piece Blue Red EU50 UK40,31014,https://www.ebay.com/itm/406986961387?_skw=Dainese&hash=item5ec25031eb:g:pnUAAeSwUi9qJ~JI
4,Vintage Dainese Men's Freddy Spencer Leather Armored Moto Jacket Size 54 (LG),30533,https://www.ebay.com/itm/168423101893?_skw=Dainese&hash=item2736cc95c5:g:mUkAAeSwwflqHlvh
5,Vintage DAINESE World Class Champion Leather Suit Overalls Size 54 Italy -*READ*,40298,https://www.ebay.com/itm/137319422034?_skw=Dainese&hash=item1ff8e01852:g:b9EAAeSwIGhqCjrI
6,DEFECTIVE Dainese Scarponcino Quito Riding Shoes Size 10 Rare DISCONTINU G3D,42470,https://www.ebay.com/itm/178195681814?_skw=Dainese&hash=item297d4a5216:g:iSIAAOSwEMtk9uHx&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGbAUSDooL92HpksxxyyWyP6woGRVSjZ4tZ6xc5qU5AF5pWpjeXxYgZlb1Odg3z1GLj1FfC8a5kxBQALRUUKPgeI6b0Ag3mTBnfEmedGQHcGkSb52ygK2i09G3sBoGRz13zlWpLVEVE1TMgDaQq%2Bfy6gI6gKWm3VFGnGXRETa2CWzkIQb5d%2F4pnd%2F4%2BPmSJ3gMgPXC8oB8A7YvKpph7HEPtEHABAf4a8Ad5kfb9ejEFg59wbDIDnCrOUAf8zvS3Iefpe%2FhR6BwxU86Sm6cylBxUuksZRLlHLdwfk8TRlcZ75ow%3D%3D
7,Vintage Dainese Men’s Super Heavy Duty Leather Motorcycle Jacket Vented Size 50,46492,https://www.ebay.com/itm/127873939530?_skw=Dainese&hash=item1dc5e1784a:g:WYgAAeSwxYdqDPVH
8,Dainese “Stripes”Leather Motorcycle Jacket Cafe Racer Vintage Styling Eu 50,23250,https://www.ebay.com/itm/336546818538?_skw=Dainese&hash=item4e5bc0e9ea:g:a~kAAeSwNw1p6QYN
9,Dainese Vintage Black Leather Motocycle Jacket - Racing Legends Size Small (50),23250,https://www.ebay.com/itm/267623785349?_skw=Dainese&hash=item3e4f9ee385:g:Ex0AAeSwQ-tptwGG
10,Vintage Dainese Carbon Long Motorcycle Gloves Black White Race Gauntlet Size S,18600,https://www.ebay.com/itm/397953302785?_skw=Dainese&hash=item5ca7dd8101:g:zR4AAeSwPN5qB6nK
