title,price,itemWebUrl,sellerUsername,condition,itemLocation,categoryPath,buyingOptions
Motorcycle Phone Mount Auto Lock 100mph Military Anti-Shake Bike Phone Holder,5.60,https://www.ebay.com/itm/388938206064?_skw=motorcycle&hash=item5a8e860b70:g:TeEAAeSwLk9ovVz0,hermanoshippo,New,"120**, US","Mounts & Holders > Cases, Covers & Skins > Cell Phone Accessories > Cell Phones & Accessories","FIXED_PRICE,BEST_OFFER"
QUAD LOCK Motorcycle/Moto Handlebar Mount PRO + Vibration Dampener (NEW IN BOX),58.00,https://www.ebay.com/itm/206326597557?_skw=motorcycle&hash=item300a0607b5:g:2LUAAeSwQcRqJBiW,riderevolution,New,"786**, US",Mounts & Holders > Cell Phone Accessories > Cell Phones & Accessories,FIXED_PRICE
QUAD LOCK Motorcycle/Moto Fork/Stem Mount + Vibration Dampener - NEW + FREE S&H,50.00,https://www.ebay.com/itm/206326623258?_skw=motorcycle&hash=item300a066c1a:g:T-gAAeSwTwlqJBtK,riderevolution,New,"786**, US",Mounts & Holders > Cell Phone Accessories > Cell Phones & Accessories,FIXED_PRICE
QUAD LOCK Motorcycle/Moto Fork Stem Mount PRO + Vibration Dampener -NEW/FREE S+H,60.00,https://www.ebay.com/itm/206326608794?_skw=motorcycle&hash=item300a06339a:g:TR8AAeSwROFqJBpU,riderevolution,New,"786**, US",Mounts & Holders > Cell Phone Accessories > Cell Phones & Accessories,FIXED_PRICE
QUAD LOCK Motorcycle/Moto Handlebar Mount - NEW IN BOX (FREE SHIPPING!) ,33.00,https://www.ebay.com/itm/206245499983?_skw=motorcycle&hash=item300530944f:g:r~QAAOSww3toN9sv,riderevolution,New,"786**, US",Mounts & Holders > Cell Phone Accessories > Cell Phones & Accessories,FIXED_PRICE
360° Aluminum Motorcycle Bike Bicycle GPS Cell Phone Holder Handlebar Mount LOT,425.79,https://www.ebay.com/itm/389012179599?_skw=motorcycle&hash=item5a92eeca8f:g:YZsAAeSwpkFo1PZX,thenicefella-02,New,"142**, US",Mounts & Holders > Cell Phone Accessories > Cell Phones & Accessories,FIXED_PRICE
MOTUL Chain Clean 9.8 Ounce Motorcycle Chain Cleaner Universal Fit 103243,13.92,https://www.ebay.com/itm/287117519615?_skw=motorcycle&hash=item42d989aaff:g:WtYAAeSwYolpgReo,ohio-performance-parts,New,"454**, US",Lubrication & Cleaning > Sporting Goods > Cycling > Bicycle Maintenance & Tools,FIXED_PRICE
Garmin zumo 396 LMT-S Motorcycle GPS Navigator w/ Lifetime Maps 010-02019-00,179.99,https://www.ebay.com/itm/177203268046?_skw=motorcycle&hash=item29422349ce:g:-mEAAOSw0-Ba61j2,gpscity,Certified - Refurbished,"891**, US",GPS Units > Consumer Electronics > Vehicle Electronics & GPS,FIXED_PRICE
QUAD LOCK Motorcycle/Moto Handlebar Mount PRO - NEW IN BOX (FREE SHIPPING!),43.00,https://www.ebay.com/itm/206283473250?_skw=motorcycle&hash=item3007740162:g:OIMAAeSwWn9ooXFw,riderevolution,New,"786**, US",Mounts & Holders > Cell Phone Accessories > Cell Phones & Accessories,FIXED_PRICE
Motorcycle Helmet Camera Mount Motorbike Hat Chin Bracket Holder for GoPro,11.94,https://www.ebay.com/itm/277646176042?_skw=motorcycle&hash=item40a5006f2a:g:eUQAAeSw1q5pZfTk,qingloustudios.llc,New,"925**, US","Other Camera & Photo Accs > Cameras & Photo > Camera, Drone & Photo Accessories","FIXED_PRICE,BEST_OFFER"
