title,price,itemWebUrl,sellerUsername,condition,itemLocation,categoryPath,buyingOptions,searchKeyword
Alpinestars - Tech-1 K Race G1 Karting Gloves | Go Kart Racing Gloves,59.95,https://www.ebay.com/itm/227137234351?_skw=Alpinestars&hash=item34e26f25af:g:MQUAAeSwo9VpRDTW,racingdirect,New with tags,"358**, US",Clothing & Protective Gear > Sporting Goods > Go-Karts (Recreational) > Outdoor Sports,FIXED_PRICE,Alpinestars
New Alpinestars Leather Motorcycle Jacket: Good Quality Motorcycle Jacket,219.13,https://www.ebay.com/itm/406951633985?_skw=Alpinestars&hash=item5ec0352441:g:F0oAAeSwQ9JpXp9A&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGa7kBtUTmuOoZ5Ow92sal8TNrWPzvi7zhrkYLwanbCeABvVdgpDWKcZgeMbG0R%2B9FH2V2McHeyKUR4YjDKCGfp3yauMYts45Ee%2F0ZXFNo15Xveq6iWnsbzwSuyIRQA6KuBZ1TznWAefvoA2JAifUzRN3GVmsBnCU8D5YhB4ZPeVnNnhzjJF9bs1B5Ofy75KzFoj6jSXWzlrRTXMfJnGrpUIa5QI0p38b3%2Fg%2FHOYP5WCDiOw%2F5KiNpYbv7fU3hZIsoThHIMt9wRhtB4TjP374Zq4tPVkMV1bglWaXxNeHoHQtw%3D%3D,urbanbikerleder,Nuovo con etichette,"12***, DE","Giacche e giubbotti > Auto e moto: ricambi e accessori > Abbigliamento, caschi e protezioni > Abbigliamento per moto",FIXED_PRICE,Alpinestars
QTY 2 | Alpinestar Alpinestars Alpine Finish Tee Navy Md T-Shirt 482-71010M,24.99,https://www.ebay.com/itm/168440927341?_skw=Alpinestars&hash=item2737dc946d:g:2ykAAeSwtkNqJsUr&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGbiDway057vtV1dIjn%2FJTzofUK7tX6KDV8Ys%2FS6vqw3d0GRrrRXe%2BDhdU3HZ857dCVIip5o1Af3M%2FfDKK%2Bc7ulyDWeV%2FCcZNAXk%2F1k2nkcpopKtt3Fh7NBGH4x8PBUoQNOOC9Pgr0Act9ZcacoWUnq9glcbuTDCESMqb7KMXK0LrbizjF8Whk29y%2BIdFgSZUpkv%2B46JaaT78LL3m1NXbqAjOFx3XPqV2wp0reqowmOTUCq6eK8KrR0WGH1CdTne%2FETQXQLdrD3%2FxpV8CDJ9Jj55kca0coDBXbHThE%2Br236I5g%3D%3D,suncoastcyclesports,New without box,"335**, US","Boots & Shoes > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",Alpinestars
ALPINE STARS 2047717–82–13,310.00,https://www.ebay.com/itm/167785281946?_skw=Alpinestars&hash=item2710c8399a:g:puYAAeSwKdhow0Pa&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGaeiSOMB9X%2FI2NvAwqOzr2JGGYcL4JTC13xLw65waXFMlhyARsWRvEB1LuVWBSvO3ta%2B0WzE1vheWamSCBFZuOsiYSS%2FiQP%2BgJJj1EeGf%2BR4IpkbszU89P6N6arMbJtJnVCtxJV2rX%2FnxJubOegIeDuybIFyB7P1yhFMpBYB8skTlJUj9gmX3GlJsZ72i2YQR3ubI8RIys7Oj5j%2FleT1YFvw5V8Sim6aAywLSWDFLfsd0Zpi%2BXhyl9KI%2F7r%2BEZqKbu0qvQx47kv3am5Vw6K%2BvDKW%2BWSSYPvDV2glqRveRnHTQ%3D%3D,shaglo-5330,New with box,"300**, US","Boots & Shoes > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,Alpinestars
Alpinestars Tech-1 K Start v2 Karting Shoes | CIK-FIA Level 1,79.66,https://www.ebay.com/itm/336391084852?_skw=Alpinestars&hash=item4e52789b34:g:vEcAAeSwez5paRWz,competitionmotorsport_com,New,"502**, US",Other Whlsl Home & Garden Lots > Home & Garden > Wholesale Lots,FIXED_PRICE,Alpinestars
Alpinestars KMX-9 v2 Graphic 1 Kart Racing Suit | CIK-FIA 2013-1 (Garage Sale),149.66,https://www.ebay.com/itm/236583574899?_skw=Alpinestars&hash=item37157add73:g:iOMAAeSwpzppaQ7w,competitionmotorsport_com,New,"502**, US",Other Whlsl Home & Garden Lots > Home & Garden > Wholesale Lots,FIXED_PRICE,Alpinestars
Alpinestars GPTech Race Suit Size 50 FIA 8856-2000,200.10,https://www.ebay.com/itm/318430714781?_skw=Alpinestars&hash=item4a23f31b9d:g:BCYAAeSw~85qJ-GF,spanner_monkey_1,Used,"DE12***, GB","Racing & Riding Suits > Clothing, Protective Gear & Merchandise > Vehicle Parts & Accessories > Motorcycle & Motorsports Gear","FIXED_PRICE,AUCTION",Alpinestars
Alpinestars CarbonX Race Suit Size 48 FIA 8856-2000,200.10,https://www.ebay.com/itm/318430795974?_skw=Alpinestars&hash=item4a23f458c6:g:UccAAeSwwQBqJ-Xp,spanner_monkey_1,Used,"DE12***, GB","Racing & Riding Suits > Clothing, Protective Gear & Merchandise > Vehicle Parts & Accessories > Motorcycle & Motorsports Gear","FIXED_PRICE,AUCTION",Alpinestars
Alpinestars Tech 7S Boots Black/Enamel Blue/Fluo Yellow Size 3,250.00,https://www.ebay.com/itm/318431807984?_skw=Alpinestars&hash=item4a2403c9f0:g:pPkAAeSwMoxqKCjS,mck_motosports,New with box,"272**, US","Boots & Shoes > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,Alpinestars
Alpinestars GPTech Race Suit Size 52 FIA 8856-2000,200.10,https://www.ebay.com/itm/318430728180?_skw=Alpinestars&hash=item4a23f34ff4:g:La8AAeSwiXdqJ-QO,spanner_monkey_1,Used,"DE12***, GB","Racing & Riding Suits > Clothing, Protective Gear & Merchandise > Vehicle Parts & Accessories > Motorcycle & Motorsports Gear","FIXED_PRICE,AUCTION",Alpinestars
Alpinestars CarbonX Race Suit Size 48 FIA 8856-2000,200.10,https://www.ebay.com/itm/318430723399?_skw=Alpinestars&hash=item4a23f33d47:g:D2MAAeSwYMVqJ-Mb,spanner_monkey_1,Used,"DE12***, GB","Racing & Riding Suits > Clothing, Protective Gear & Merchandise > Vehicle Parts & Accessories > Motorcycle & Motorsports Gear","FIXED_PRICE,AUCTION",Alpinestars
Alpinestars T-Shirt Skate Style 🛹🔥 Streetwear Racing Tee – Perfect for Skaters,16.14,https://www.ebay.com/itm/287248744211?_skw=Alpinestars&hash=item42e15bff13:g:-94AAeSwSBNp1Sg4,shessispretty,New without tags,"067**, US","T-Shirts > Men's Clothing > Clothing, Shoes & Accessories > Shirts > Men",FIXED_PRICE,Alpinestars
Alpinestars GPTech Race Suit Size 54 FIA 8856-2000,200.10,https://www.ebay.com/itm/318430739296?_skw=Alpinestars&hash=item4a23f37b60:g:HxEAAeSwmIdqJ-Tk,spanner_monkey_1,Used,"DE12***, GB","Racing & Riding Suits > Clothing, Protective Gear & Merchandise > Vehicle Parts & Accessories > Motorcycle & Motorsports Gear","FIXED_PRICE,AUCTION",Alpinestars
Alpinestars MO.ST.EQ Tartan Long Sleeve Shirts Lg Gray 4300424-9610-L,379.95,https://www.ebay.com/itm/116437331634?_skw=Alpinestars&hash=item1b1c34aeb2:g:jiUAAOSwn89necjP&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGaUyJ2ak%2BCc6PQBYpEoVl3n3lRuaPffDb9BwJmmC1T2PLusEN3vJc9DgqfUQc1GWLsfA9EtbTh7KMx0KgvZZXCvg9scHodaXu0erD6oCHotgqkOOagsFpwh7MMUDZz80eP6x5C%2FgAiuiSfqIEHe4KEAlXJtfp%2F4uo2QC9H9snEtL9eicHdk3QN6aGKJ7u1FIPHxZFDUzsUSlB%2FA5WWmaY%2BuFOP9aVRB6etuk00NWb73lK6y75Ot%2BG6tk5lPRxRXuDmfu0GkjHg2O98MWES2o4tx4bLPAsO%2B%2B%2BYGVjzhg4KAVw%3D%3D,bikes_trikes_and_quads,New with tags,"121**, US","Other Apparel, Protective Gear & Merchandise > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise",FIXED_PRICE,Alpinestars
Sektor Shoes Alpinestars Black/Grey/Red 14,189.95,https://www.ebay.com/itm/256668695293?_skw=Alpinestars&hash=item3bc2a57afd:g:FNYAAOSwrrRnBGiH&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGY0ZW6MChSlTCg%2BDjNYLrwSYF0FpmPuqtjl--RlL0AD47F54KMmObdJ5t2omozblJvc4GC86cx0JOyLDq2iIEStw1xSMp%2F0RgZLDfFcDmwnh9UfNOwXsssY3cNoLznnhdZoRgMOtnN%2B6XzEihCC45uuGr7fxWeXiRcCpQeTX23WW3RG5JWJIPDoHf6tBs6uzwkg6A2P8EIn9uF1G27xbmhl2M2lfwuGitc0wsfoT4khfsoO--BSw7kMOybyXu4jx7buk91pJczZT1o7T4jVPFt1D4XWx15E8qBGpdbPUOOBqA%3D%3D,dallashonda,New with tags,"752**, US","Other Apparel, Protective Gear & Merchandise > Boots & Shoes > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",Alpinestars
