title,price,itemWebUrl,sellerUsername,condition,itemLocation,categoryPath,buyingOptions,searchKeyword
Dainese Racing Perforated Leather Motorcycle Jacket Size EU 50 - US 40,200.00,https://www.ebay.com/itm/398043955140?_skw=Dainese&hash=item5cad44bfc4:g:4hEAAeSwM7JqJ7-X,kyabex,Pre-owned,"968**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,Dainese
Dainese Druid 4 Leather Gloves White CE Armor Summer Racing Motorcycle,189.99,https://www.ebay.com/itm/188483009220?_skw=Dainese&hash=item2be2767ac4:g:WXEAAeSwYe5qJrWc&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZ6cMIOjbpiVuaFaqrXUmesQFXGiUZtddkRd7N2aZc7UpBX1Qhj3DPFutA1T2kiHiEq43ZITe%2FRcz47nzTxXNv%2BXBZySPDN%2BmndLtewQmajEXU6P%2B2cWWHYoqZiYrCEfT9ie4IJgMvP7r5uDB91sncrgJRbL702KcsxvsLJM0G%2FNRRw30bkLI7Th1XV4mIs7wGfAUG9GqQ8s59L%2FGSeYQqMAoRvuW%2F%2BaCmbJKWojNigOMlnGIIoonWkXUIAgx6%2FMFupR4qZyZzw2wLIovnRx1Jq09X5gygB7%2BAgBsWoD8n70w%3D%3D,jason112211,New with tags,"112**, US","Gloves > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,Dainese
Dainese Super Speed 4 Cowhide Leather Jacket,299.99,https://www.ebay.com/itm/168368268594?_skw=Dainese&hash=item273387e532:g:J68AAeSw7kpqCgSS&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGasUWrrV%2FoQh4SlYyQzV9nBTMayxLQkJ8%2FMycZ7AkscVW8hWA%2F0D8AouqVgNkRT%2BkKFNCP1ohvrEO579mGCCxXsMn7UHXdGu1ubbVvvHPUqMC4ti%2FcqehsQ%2BNKtawKnCe8NE7EB93MsBK5gqlg7tE3r5%2Fu2U79YeWy8Xv0F0FilAxlpq%2BLCt5PPoFAkoxoSDTC8TNv3XPpxpmYHpmNXenX8RBOoj2i2t9Wa%2FfGScsPTPSYWt2X3J4VaiC%2BN8gVODMMPh5%2Bc2zFlA3lF2ukMInUw2%2BFvbtwFEECXvOtb3UMERA%3D%3D,royalcombatcollection,New without tags,PK,"Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,Dainese
Dainese Hydra Flux 2 Air D-Dry Womens Motorcycle Jacket Black | EU 46,89.70,https://www.ebay.com/itm/178205805101?_skw=Dainese&hash=item297de4ca2d:g:gjwAAeSwm-VqJ4Ll&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGY5NhA332foYCY3iJ2YzVKQpiX%2FV2cOZH8jLTRolzTPu9xDgkwjbl4DFvXaaRoMDDTbzmrmNtqhunltXSIP%2FlXzYtDu4koZtZgmUtzc551IiqYxNDUO0%2FkskeXOZFYj535e2tDZPbyrx0KlIAwPk1Rc4SV5JnWQwvVcrSUFbmaBjP6ChAvZr3jeqHNiZVjxnxuuBmkWvrtA%2B572pBAtVtLsWM86%2BSIs%2BxZuhDgKKf6UN3zB5ioyx78DIvDJmRWp5NQH9ECGFCe7KH058pwxMBf7,hiddeninthehills,Pre-owned - Excellent,"900**, US","Coats, Jackets & Vests > Clothing, Shoes & Accessories > Women's Clothing > Women",FIXED_PRICE,Dainese
Dainese Full Metal Gloves - 8.5M,170.00,https://www.ebay.com/itm/178198653785?_skw=Dainese&hash=item297d77ab59:g:YCkAAeSwG21qJHCM,lechat99,Pre-owned,"770**, US","Gloves > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",Dainese
Dainese Laguna Seca 5  Race Suit Black/White Size 50 - Free Shipping!,799.99,https://www.ebay.com/itm/206331904159?_skw=Dainese&hash=item300a57009f:g:jUoAAeSw-JNqJvti,blvd-sales-19,Pre-owned,"902**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,Dainese
Dainese leather jacket 50 + Zip in Liner + Built in Elbow and Shoulder Armor,250.00,https://www.ebay.com/itm/318429960996?_skw=Dainese&hash=item4a23e79b24:g:4TcAAeSwK-9qJ6F5,sensay77,Pre-owned,"949**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",Dainese
Dainese Carbon 4 Motorcycle Gloves Size L,100.00,https://www.ebay.com/itm/366465032989?_skw=Dainese&hash=item555304a31d:g:bPoAAeSwBfhqJxV~,404nate,New with tags,"301**, US","Gloves > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",Dainese
Dainese Steel Pro,200.00,https://www.ebay.com/itm/157982774122?_skw=Dainese&hash=item24c881d36a:g:7aMAAeSwEgFqJ39V,aarfreraw,Pre-owned,"970**, US","Gloves > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,BEST_OFFER",Dainese
Dainese Super Speed SP-R Motorcycle Jacket Mens Size 58,150.00,https://www.ebay.com/itm/178201119707?_skw=Dainese&hash=item297d9d4bdb:g:9acAAeSwoKJqIKFK,jkriter08,Pre-owned,"800**, US","Motorcycle Jackets > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear","FIXED_PRICE,AUCTION",Dainese
Dainese Steel Pro Race Motorcycle Gloves Black Size 9/L,150.00,https://www.ebay.com/itm/267684365840?_skw=Dainese&hash=item3e533b4610:g:ATYAAeSwNEpqGlWB,crushingforces,Pre-owned,"975**, US","Gloves > eBay Motors > Parts & Accessories > Apparel, Protective Gear & Merchandise > Motorcycle & Powersports Gear",FIXED_PRICE,Dainese
