集計種別,項目,値
カテゴリ別件数,Boots & Shoes,109
カテゴリ別件数,T-Shirts,22
カテゴリ別件数,"Other Apparel, Protective Gear & Merchandise",12
カテゴリ別件数,Hats,10
カテゴリ別件数,Other Whlsl Home & Garden Lots,8
カテゴリ別件数,Racing & Riding Suits,8
カテゴリ別件数,Clothing & Protective Gear,4
カテゴリ別件数,Hoodies & Sweatshirts,4
カテゴリ別件数,"Decals, Stickers & Vinyl Art",3
カテゴリ別件数,Suncatchers & Window Panels,3
カテゴリ別件数,Patches,2
カテゴリ別件数,Giacche e giubbotti,1
カテゴリ別件数,Dress Shirts,1
カテゴリ別件数,"Coats, Jackets & Vests",1
カテゴリ別件数,Helmets,1
カテゴリ別件数,Banners & Flags,1
カテゴリ別件数,Bags,1
カテゴリ別件数,Shorts,1
カテゴリ別件数,Belts,1
カテゴリ別件数,Business Signs,1
カテゴリ別件数,Polos,1
カテゴリ別件数,Flags,1
カテゴリ別件数,Non-Country Specific,1
カテゴリ別件数,Stiefel & Schuhe,1
カテゴリ別件数,Socks,1
カテゴリ別件数,Kombis & Rennanzüge,1
国別件数,US,165
国別件数,GB,24
国別件数,DE,4
国別件数,CN,3
国別件数,IT,2
国別件数,PL,1
国別件数,AU,1
新品割合,全体,94.0%
中古割合,全体,4.0%
平均価格,全体,207.60
最高価格,全体,749.95
最低価格,全体,4.50
