集計種別,項目,値
カテゴリ別件数,Motorcycle Jackets,91
カテゴリ別件数,Gloves,35
カテゴリ別件数,Motorcycle Pants & Chaps,15
カテゴリ別件数,Boots & Shoes,13
カテゴリ別件数,"Coats, Jackets & Vests",10
カテゴリ別件数,Racing & Riding Suits,9
カテゴリ別件数,Jeans,4
カテゴリ別件数,Hoodies & Sweatshirts,3
カテゴリ別件数,Back Protectors,2
カテゴリ別件数,Stiefel & Schuhe,1
カテゴリ別件数,Other Outdoor Sports,1
カテゴリ別件数,Motorcycle Trousers & Chaps,1
カテゴリ別件数,Ear Plugs,1
カテゴリ別件数,Handschuhe,1
カテゴリ別件数,Tute in pelle e altri tessuti,1
カテゴリ別件数,Suits,1
カテゴリ別件数,Pants,1
カテゴリ別件数,Backpacks & Bags,1
カテゴリ別件数,Activewear Jackets,1
カテゴリ別件数,Knee Protectors,1
カテゴリ別件数,Protective Pads & Armor,1
カテゴリ別件数,"Other Luggage, Racks & Storage",1
カテゴリ別件数,Boots,1
カテゴリ別件数,Gloves & Mittens,1
カテゴリ別件数,Other Sporting Goods,1
カテゴリ別件数,Stivali,1
カテゴリ別件数,Accessory Sets,1
国別件数,US,179
国別件数,PK,6
国別件数,UA,5
国別件数,GB,4
国別件数,DE,1
国別件数,PT,1
国別件数,IT,1
国別件数,AE,1
国別件数,SK,1
国別件数,CN,1
新品割合,全体,28.5%
中古割合,全体,3.5%
平均価格,全体,211.04
最高価格,全体,2099.00
最低価格,全体,15.00
