集計種別,項目,値
カテゴリ別件数,Motorcycle Jackets,160
カテゴリ別件数,Gloves,12
カテゴリ別件数,Backpacks & Bags,7
カテゴリ別件数,"Other Apparel, Protective Gear & Merchandise",6
カテゴリ別件数,Racing & Riding Suits,2
カテゴリ別件数,Vests,2
カテゴリ別件数,Apparel,2
カテゴリ別件数,Eyewear,1
カテゴリ別件数,Motorcycle & Powersport Helmets,1
カテゴリ別件数,Batteries,1
カテゴリ別件数,Pants,1
カテゴリ別件数,"Tops, T-Shirts & Jerseys",1
カテゴリ別件数,"Coats, Jackets & Vests",1
カテゴリ別件数,Polos,1
カテゴリ別件数,Hoodies & Sweatshirts,1
カテゴリ別件数,Casual Button-Down Shirts,1
国別件数,US,197
国別件数,PK,2
国別件数,UA,1
新品割合,全体,92.5%
中古割合,全体,0.0%
平均価格,全体,123.73
最高価格,全体,1499.00
最低価格,全体,11.26
