集計種別,項目,値
カテゴリ別件数,Other Motorcycle & Scooter Parts & Accessories,38
カテゴリ別件数,Patches,10
カテゴリ別件数,Contemporary Manufacture,9
カテゴリ別件数,T-Shirts,9
カテゴリ別件数,Hats,8
カテゴリ別件数,Flags,7
カテゴリ別件数,Rechargeable Batteries,7
カテゴリ別件数,Parts & Accessories,6
カテゴリ別件数,Every Other Thing,6
カテゴリ別件数,Other Vehicle Electronics,4
カテゴリ別件数,"Seals, O-Rings & Gaskets",4
カテゴリ別件数,Hoodies & Sweatshirts,3
カテゴリ別件数,Brakes,3
カテゴリ別件数,"Decals, Stickers & Vinyl Art",3
カテゴリ別件数,Other Collectible Lighting,3
カテゴリ別件数,Bolts & Fasteners,3
カテゴリ別件数,Polos,3
カテゴリ別件数,Lawn Mower Parts,3
カテゴリ別件数,Car & Truck Racks,2
カテゴリ別件数,Racing-Other,2
カテゴリ別件数,Decals & Stickers,2
カテゴリ別件数,Clothespins,2
カテゴリ別件数,Filters,2
カテゴリ別件数,Lawn Mower Accessories,2
カテゴリ別件数,Glassware & Drinkware,1
カテゴリ別件数,Activewear Tops,1
カテゴリ別件数,"Key Chains, Rings & Cases",1
カテゴリ別件数,Gas Scooters,1
カテゴリ別件数,Tool Boxes,1
カテゴリ別件数,Other American Auto Catalogs,1
カテゴリ別件数,Other Forklift Parts & Accessories,1
カテゴリ別件数,Tools,1
カテゴリ別件数,Accents & Trim,1
カテゴリ別件数,Card Display Cases & Stands,1
カテゴリ別件数,Business Signs,1
カテゴリ別件数,Push-Pull Golf Carts,1
カテゴリ別件数,Video Game Merchandise,1
カテゴリ別件数,Books,1
カテゴリ別件数,Chainrings & BMX Sprockets,1
カテゴリ別件数,Protective Pads & Armor,1
カテゴリ別件数,Other US License Plates,1
カテゴリ別件数,Other Go-Karts (Recreational),1
カテゴリ別件数,Other Fasteners & Hardware,1
カテゴリ別件数,Brake Disc Rotors,1
カテゴリ別件数,"Handlebar Grips, Tape & Pads",1
カテゴリ別件数,Other Sporting Goods,1
カテゴリ別件数,Lights & Reflectors,1
カテゴリ別件数,Art Posters,1
カテゴリ別件数,Other Bicycle Accessories,1
カテゴリ別件数,Other Motorcycle Collectibles,1
カテゴリ別件数,Bags,1
カテゴリ別件数,Kickstands,1
カテゴリ別件数,Pool Ladders & Steps,1
カテゴリ別件数,Umbrellas,1
カテゴリ別件数,Complete Go-Karts & Frames,1
カテゴリ別件数,Other RC Parts & Accs,1
カテゴリ別件数,Olympics,1
カテゴリ別件数,Other Merch & Memorabilia Ads,1
カテゴリ別件数,Stickers & Decals,1
カテゴリ別件数,Lighting Parts,1
カテゴリ別件数,Pilot Assemblies,1
カテゴリ別件数,Outfits & Sets,1
カテゴリ別件数,Non-Topographical Postcards,1
カテゴリ別件数,Other Educational Toys,1
カテゴリ別件数,Other Heavy Equipment Parts & Accessories,1
カテゴリ別件数,Other Garage Door Equipment,1
カテゴリ別件数,Memory (RAM),1
カテゴリ別件数,Hubs,1
カテゴリ別件数,Automotive,1
カテゴリ別件数,Handlebars,1
カテゴリ別件数,Bread Machines,1
カテゴリ別件数,Grommet Tools/Setters,1
カテゴリ別件数,Other Material Handling,1
カテゴリ別件数,PLC Processors,1
カテゴリ別件数,Internet Businesses & Websites,1
カテゴリ別件数,Contactor Accessories,1
カテゴリ別件数,Barcode Scanners,1
カテゴリ別件数,Signs,1
カテゴリ別件数,Desk & Drawer Organizers,1
カテゴリ別件数,"Guides, Catalogs",1
カテゴリ別件数,Mugs,1
カテゴリ別件数,Other Sensors,1
カテゴリ別件数,Pants & Shorts,1
国別件数,US,161
国別件数,CN,20
国別件数,GB,8
国別件数,CA,2
国別件数,AU,2
国別件数,AR,2
国別件数,TR,1
国別件数,IN,1
国別件数,IT,1
国別件数,PH,1
国別件数,UA,1
新品割合,全体,94.5%
中古割合,全体,4.0%
平均価格,全体,40.41
最高価格,全体,600.30
最低価格,全体,1.78
