集計種別,項目,値
カテゴリ別件数,Mounts & Holders,27
カテゴリ別件数,T-Shirts,10
カテゴリ別件数,Patches,10
カテゴリ別件数,Sunglasses,8
カテゴリ別件数,Locks & Security,8
カテゴリ別件数,Badges & Patches,7
カテゴリ別件数,"Decals, Stickers & Vinyl Art",6
カテゴリ別件数,Rechargeable Batteries,6
カテゴリ別件数,Other Camera & Photo Accs,5
カテゴリ別件数,Bags & Panniers,5
カテゴリ別件数,Tie Downs & Straps,5
カテゴリ別件数,Parts & Accessories,5
カテゴリ別件数,Lubrication & Cleaning,4
カテゴリ別件数,GPS Units,4
カテゴリ別件数,Hats & Headwear,4
カテゴリ別件数,Hats,4
カテゴリ別件数,Marine Audio,4
カテゴリ別件数,Contemporary Manufacture,3
カテゴリ別件数,Tools,3
カテゴリ別件数,Goggles & Sunglasses,3
カテゴリ別件数,Other Vehicle Electronics,2
カテゴリ別件数,Chargers & Cradles,2
カテゴリ別件数,Car & Truck Racks,2
カテゴリ別件数,"Handlebar Grips, Tape & Pads",2
カテゴリ別件数,Fuses & Fuse Holders,2
カテゴリ別件数,Sunglasses & Goggles,2
カテゴリ別件数,Tool Boxes,2
カテゴリ別件数,Books,2
カテゴリ別件数,Every Other Thing,2
カテゴリ別件数,Boots,2
カテゴリ別件数,Spokes,2
カテゴリ別件数,Kickstands,2
カテゴリ別件数,Flags,2
カテゴリ別件数,"LEGO (R) Bricks, Pieces & Parts",2
カテゴリ別件数,Gloves & Mittens,2
カテゴリ別件数,Garage Door Remotes,1
カテゴリ別件数,Bags,1
カテゴリ別件数,Lawn Mower Parts,1
カテゴリ別件数,Signs,1
カテゴリ別件数,"Key Chains, Rings & Cases",1
カテゴリ別件数,Automatic Levels,1
カテゴリ別件数,Other Bike Maintenance & Tools,1
カテゴリ別件数,Door Entry Systems & Intercoms,1
カテゴリ別件数,Headsets & Earpieces,1
カテゴリ別件数,Canopies & Shelters,1
カテゴリ別件数,Electric Bicycle Components,1
カテゴリ別件数,Bracelets & Charms,1
カテゴリ別件数,Other Test Meters & Detectors,1
カテゴリ別件数,Dispensers & Accessories,1
カテゴリ別件数,Indian,1
カテゴリ別件数,Other Tools & Workshop Equipment,1
カテゴリ別件数,Bandanas & Scarves,1
カテゴリ別件数,Hoodies & Sweatshirts,1
カテゴリ別件数,Stickers & Decals,1
カテゴリ別件数,Action Figures,1
カテゴリ別件数,Magazines,1
カテゴリ別件数,"Seats, Components, Cushions & Covers",1
カテゴリ別件数,Wire & Cable Connectors,1
カテゴリ別件数,Ramps & Rails,1
カテゴリ別件数,Ear Plugs,1
カテゴリ別件数,Video Game Merchandise,1
カテゴリ別件数,Screws & Bolts,1
カテゴリ別件数,Tactical Gloves,1
カテゴリ別件数,Other Home & Garden,1
カテゴリ別件数,Decals & Stickers,1
カテゴリ別件数,Safety Glasses & Goggles,1
カテゴリ別件数,Connectors & Terminals,1
カテゴリ別件数,"String Lights, Fairy Lights",1
カテゴリ別件数,Posters,1
カテゴリ別件数,Figures & Statues,1
カテゴリ別件数,Budweiser,1
カテゴリ別件数,"Unspecified, Unknown State",1
カテゴリ別件数,Wristwatches,1
カテゴリ別件数,Hydraulic & Pneumatic Brakes,1
国別件数,US,196
国別件数,IN,1
国別件数,CA,1
国別件数,CN,1
国別件数,LK,1
新品割合,全体,95.5%
中古割合,全体,1.0%
平均価格,全体,33.16
最高価格,全体,552.05
最低価格,全体,1.00
